page_index,predicted_label,text_source,text_chars,text_empty,fused_giay_gui_tien_tiet_kiem,fused_the_tiet_kiem_ban_sao,fused_to_trinh_uu_dai_lai_suat,fused_giay_to_chung_minh_cu_tru,img_giay_gui_tien_tiet_kiem,img_the_tiet_kiem_ban_sao,img_to_trinh_uu_dai_lai_suat,img_giay_to_chung_minh_cu_tru
88,to_trinh_uu_dai_lai_suat,empty,0,True,0.854614,0.636575,1.0,0.0,633.6389,599.9673,656.0908,501.6618
89,to_trinh_uu_dai_lai_suat,empty,0,True,0.867591,0.66484,1.0,0.0,631.9786,594.5344,656.432,471.7511
90,the_tiet_kiem_ban_sao,empty,0,True,0.426268,1.0,0.0,0.056769,660.5281,689.2814,639.1652,642.0103
91,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.993064,0.46904,0.0,615.2856,614.9564,590.0835,567.8204
92,the_tiet_kiem_ban_sao,empty,0,True,0.98602,1.0,0.272455,0.0,493.8897,494.3396,470.9253,462.157
93,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.747511,0.0,0.651839,456.1422,450.1387,432.365,447.8639
94,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.484237,0.466931,0.0,706.4208,655.8704,654.1742,608.4099
95,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.829897,0.814476,0.0,670.3491,650.2556,648.434,552.2238
96,to_trinh_uu_dai_lai_suat,empty,0,True,0.774087,0.853998,1.0,0.0,642.7487,650.5929,664.9249,566.7623
97,to_trinh_uu_dai_lai_suat,empty,0,True,0.832304,0.645623,1.0,0.0,627.7066,598.6597,653.7996,498.2029
98,to_trinh_uu_dai_lai_suat,empty,0,True,0.885065,0.688653,1.0,0.0,635.4551,598.2119,657.2487,467.6315
99,the_tiet_kiem_ban_sao,empty,0,True,0.411216,1.0,0.179918,0.0,662.4574,697.6976,648.6136,637.8451
100,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.828691,0.367689,0.0,646.5225,636.3124,608.8366,586.9222
101,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.939898,0.282883,0.0,495.7409,493.8061,472.6552,463.5485
102,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.807287,0.0,0.455274,468.2152,463.8937,445.7903,455.9998
103,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.530813,0.465101,0.0,706.2432,659.3138,652.7411,606.2205
104,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.844186,0.855703,0.0,672.2504,652.3638,653.8337,544.6204
105,to_trinh_uu_dai_lai_suat,empty,0,True,0.807379,0.851768,1.0,0.0,641.4608,645.5706,659.2946,566.7098
106,to_trinh_uu_dai_lai_suat,empty,0,True,0.83481,0.629152,1.0,0.0,631.1009,599.8152,656.2303,504.1059
107,to_trinh_uu_dai_lai_suat,empty,0,True,0.894202,0.710561,1.0,0.0,630.1309,597.5968,648.8741,471.7127
108,the_tiet_kiem_ban_sao,empty,0,True,0.382256,1.0,0.100147,0.0,664.3883,699.934,648.1554,642.3928
109,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.882316,0.341928,0.0,616.4307,609.2757,576.4212,555.6327
110,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.870894,0.194552,0.0,494.7033,490.5746,468.9458,462.7242
111,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.753347,0.0,0.654594,461.8661,456.2958,439.2825,454.0656
112,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.549158,0.579974,0.0,708.4329,652.5345,656.3554,584.4464
113,the_tiet_kiem_ban_sao,empty,0,True,0.0,1.0,0.26292,0.008649,574.3418,678.7201,601.7849,575.2446
114,to_trinh_uu_dai_lai_suat,empty,0,True,0.967227,0.858692,1.0,0.0,660.1167,645.5889,664.5034,530.6504
115,to_trinh_uu_dai_lai_suat,empty,0,True,0.752435,0.804176,1.0,0.0,646.6881,652.0325,672.2589,568.9698
116,to_trinh_uu_dai_lai_suat,empty,0,True,0.879587,0.693541,1.0,0.0,637.0571,609.076,655.1672,504.7682
117,to_trinh_uu_dai_lai_suat,empty,0,True,0.787079,0.643485,1.0,0.0,613.8018,586.3405,654.5217,463.2779
118,the_tiet_kiem_ban_sao,empty,0,True,0.523506,1.0,0.235507,0.0,675.739,704.798,658.1754,643.813
119,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.879133,0.543732,0.0,639.2814,629.7962,603.4751,560.8048
120,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.946478,0.285207,0.0,501.7491,499.7351,474.8531,464.1214
121,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.693214,0.0,0.400223,472.6631,465.5928,449.6168,458.8405
122,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.564713,0.493498,0.0,706.808,660.9915,653.4956,601.552
123,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.86081,0.868138,0.0,669.826,651.7643,652.7151,540.0627
124,to_trinh_uu_dai_lai_suat,empty,0,True,0.784388,0.839007,1.0,0.0,645.8278,651.2736,667.3252,567.621
125,to_trinh_uu_dai_lai_suat,empty,0,True,0.869357,0.674579,1.0,0.0,635.2894,606.6299,654.5121,507.3725
126,to_trinh_uu_dai_lai_suat,empty,0,True,0.863929,0.660793,1.0,0.0,630.1672,592.8095,655.1913,471.2863
127,the_tiet_kiem_ban_sao,empty,0,True,0.518665,1.0,0.264299,0.0,672.576,700.8406,657.6394,642.1195
128,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.721674,0.338726,0.0,621.9016,607.5285,587.7526,570.2603
129,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.714504,0.250209,0.0,503.6086,494.3149,479.2008,471.0558
130,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.778511,0.0,0.534248,466.0236,460.5475,441.2995,454.5083
131,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.580775,0.528697,0.0,704.29,660.1231,654.6365,598.9364
132,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.847886,0.842675,0.0,673.4502,653.6125,652.9329,543.0369
133,to_trinh_uu_dai_lai_suat,empty,0,True,0.873475,0.818332,1.0,0.0,658.4823,653.0839,670.8688,572.9711
134,to_trinh_uu_dai_lai_suat,empty,0,True,0.863775,0.659887,1.0,0.0,630.7207,601.373,650.3289,506.389
135,to_trinh_uu_dai_lai_suat,empty,0,True,0.886216,0.692014,1.0,0.0,631.9174,596.4497,652.6981,470.0651
136,the_tiet_kiem_ban_sao,empty,0,True,0.450534,1.0,0.137013,0.0,665.3594,698.0002,646.7349,638.5957
137,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.660163,0.333862,0.0,607.3225,591.6813,576.6631,561.2969
138,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.855881,0.321616,0.0,503.017,498.86,483.4498,474.1732
139,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.676124,0.0,0.439421,464.7953,457.2723,441.5671,451.7741
140,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.51318,0.507244,0.0,703.9273,651.1118,650.4678,595.4364
141,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.874892,0.887952,0.0,671.0561,654.3141,656.0619,537.2366
142,to_trinh_uu_dai_lai_suat,empty,0,True,0.76405,0.892458,1.0,0.0,640.04,652.2657,662.5049,567.2946
143,to_trinh_uu_dai_lai_suat,empty,0,True,0.852773,0.651275,1.0,0.0,627.3878,597.579,649.168,501.2321
144,to_trinh_uu_dai_lai_suat,empty,0,True,0.861002,0.692729,1.0,0.0,629.3206,598.0225,655.1737,469.1773
145,the_tiet_kiem_ban_sao,empty,0,True,0.427407,1.0,0.0,0.001062,674.2803,700.7449,654.526,654.5751
146,the_tiet_kiem_ban_sao,empty,0,True,0.924942,1.0,0.308085,0.0,637.9347,642.4262,601.0214,582.5853
147,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.873834,0.325262,0.0,508.8098,504.5948,486.2683,475.402
148,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.791649,0.0,0.766524,461.9226,456.6044,436.3972,455.963
149,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.53666,0.465256,0.0,704.1014,656.1942,648.8114,600.7061
150,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.828411,0.87684,0.0,674.2032,650.9113,657.4852,538.4602
151,to_trinh_uu_dai_lai_suat,empty,0,True,0.776353,0.844574,1.0,0.0,639.9013,646.8889,662.8087,560.3823
152,to_trinh_uu_dai_lai_suat,empty,0,True,0.844516,0.633842,1.0,0.0,630.5602,599.6797,653.351,506.7714
153,to_trinh_uu_dai_lai_suat,empty,0,True,0.868045,0.686427,1.0,0.0,633.6318,599.5783,658.3734,470.8726
154,the_tiet_kiem_ban_sao,empty,0,True,0.565295,1.0,0.0,0.194266,680.9229,703.5179,651.5401,661.6376
155,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.910561,0.287767,0.0,660.0104,655.4119,623.3907,608.5952
156,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.985105,0.277933,0.0,503.1201,502.6361,479.6582,470.6273
157,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.833756,0.0,0.466875,459.9397,456.5283,439.4189,448.9996
158,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.691104,0.501071,0.0,708.6331,675.129,654.5173,600.1692
159,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.818713,0.98712,0.0,643.6211,621.1215,642.0225,519.5107
160,the_tiet_kiem_ban_sao,empty,0,True,0.924021,1.0,0.894102,0.0,686.0221,694.7354,682.5911,580.0558
161,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.530917,0.584109,0.0,699.2326,645.7152,651.7839,585.1432
162,giay_gui_tien_tiet_kiem,empty,0,True,1.0,0.849308,0.885743,0.0,665.3563,644.9934,649.9167,530.2266
